[06-May-2025 09:21:47 UTC] PHP Deprecated:  Automatic conversion of false to array is deprecated in /Users/ivannikolic/Sites/split-airport/wp-content/plugins/wpml-sticky-links/classes/class-wpml-sticky-links.php on line 19
[06-May-2025 09:21:47 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>split</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /Users/ivannikolic/Sites/split-airport/wp-includes/functions.php on line 6121
[06-May-2025 09:21:47 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>acf</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /Users/ivannikolic/Sites/split-airport/wp-includes/functions.php on line 6121
[06-May-2025 09:21:48 UTC] PHP Deprecated:  Creation of dynamic property wpml_cms_nav_cache::$name is deprecated in /Users/ivannikolic/Sites/split-airport/wp-content/plugins/wpml-cms-nav/inc/cache.class.php on line 36
[06-May-2025 09:21:48 UTC] PHP Deprecated:  Creation of dynamic property wpml_cms_nav_cache::$cache_to_option is deprecated in /Users/ivannikolic/Sites/split-airport/wp-content/plugins/wpml-cms-nav/inc/cache.class.php on line 37
[06-May-2025 09:21:50 UTC] PHP Deprecated:  Automatic conversion of false to array is deprecated in /Users/ivannikolic/Sites/split-airport/wp-content/plugins/wpml-sticky-links/classes/class-wpml-sticky-links.php on line 19
[06-May-2025 09:21:50 UTC] PHP Deprecated:  Automatic conversion of false to array is deprecated in /Users/ivannikolic/Sites/split-airport/wp-content/plugins/wpml-sticky-links/classes/class-wpml-sticky-links.php on line 19
[06-May-2025 09:21:50 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>split</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /Users/ivannikolic/Sites/split-airport/wp-includes/functions.php on line 6121
[06-May-2025 09:21:50 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>acf</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /Users/ivannikolic/Sites/split-airport/wp-includes/functions.php on line 6121
[06-May-2025 09:21:50 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>split</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /Users/ivannikolic/Sites/split-airport/wp-includes/functions.php on line 6121
[06-May-2025 09:21:50 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>acf</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /Users/ivannikolic/Sites/split-airport/wp-includes/functions.php on line 6121
